,x,y,Cluster
25,342.59448473925295,400.4453355325769,0
46,846.989293399957,402.7043994012631,1
47,856.2065408158714,397.6877780475338,1
48,859.9079959411602,391.36966293444925,1
49,860.9649509939698,386.805597924786,1
50,865.70796848336,381.84775532704487,1
51,875.3126542411219,378.47392876830713,1
55,903.2243099956116,330.3592118027671,2
56,911.4121803370692,323.2964531845641,2
57,917.4856577949356,319.52725367935074,2
58,920.6181323887504,318.6399183980033,2
59,918.4499567492476,315.9349285982529,2
60,911.6437121555916,310.67520538061416,2
88,361.7507021813056,396.8051008680352,0
89,354.7136825904606,398.7937489738165,0
90,348.55629044847115,399.0873874949466,0
91,339.8958450515031,403.2014640580783,0
92,333.4088644200652,409.2119953365328,0
97,304.82026430272435,451.72421281802696,3
98,301.0813676285202,457.45511478720215,3
99,298.9007421295007,462.9517968673733,3
100,300.26542209058584,465.8328222589517,3
101,302.00497160198984,467.8715766194399,3
102,306.79980469719567,468.6912009705813,3
103,309.35892001913726,467.9619437064015,3
104,309.416327744018,468.2881293145299,3
105,312.73928677601566,468.57354172164224,3
106,315.1014213835592,468.34113472072266,3
107,318.2591982560689,467.6556357377752,3
108,322.6586166558784,467.05582412769616,3
109,324.3262895738935,468.4595603974484,3
110,327.42186701352057,467.7592582049102,3
111,330.6759518186486,469.07506521501074,3
112,332.9778214776811,469.7442534917058,3
